business_name,category,area,phone,whatsapp,instagram,website,cid,rating,amenities,desc_len,auto_desc
La loma de burrito,restaurant,Playa Chiquita,N,N,Y,N,Y,3.5,1,93,Y
La Paloma Studio en Coclès con cocina a,restaurant,Playa Negra,Y,N,Y,N,Y,4.9,4,90,Y
Lapaluna,restaurant,Puerto Viejo,N,N,Y,N,Y,N,0,36,
Nana's Place Beach House,restaurant,Playa Chiquita,Y,Y,N,N,Y,5.0,0,93,Y
NAO,restaurant,Playa Negra,Y,N,Y,N,Y,5.0,1,90,Y
Paraiso Bohemio,restaurant,Puerto Viejo,N,N,N,N,Y,5.0,0,55,Y
Pipa's Beach,restaurant,Puerto Viejo,N,N,N,N,Y,5.0,0,55,Y
Playa Estiven,restaurant,Playa Negra,N,N,N,N,Y,5.0,0,54,Y
Pure Life Sanctuary,restaurant,Cocles,N,N,N,Y,Y,5.0,3,85,Y
Quinta Guarumo,restaurant,Playa Negra,N,N,Y,N,Y,5.0,2,90,Y
RETIRO VERDE,restaurant,Cocles,Y,N,N,Y,Y,4.3,3,85,Y
Rico Tico Tours,restaurant,Puerto Viejo,Y,Y,N,N,Y,4.6,0,77,
Rio Home,restaurant,Playa Negra,Y,N,N,Y,Y,N,0,63,
River Box Cocles,restaurant,Playa Negra,Y,Y,Y,N,Y,5.0,4,90,Y
Shenanigans–Eat Drink Dink Drive,restaurant,Cocles,Y,N,N,Y,Y,4.6,0,80,
Shenanigans–Fat Drink Dink Drive,restaurant,Playa Negra,N,N,N,N,Y,N,0,60,
Siren Sanctuary,restaurant,Cocles,N,N,Y,Y,Y,5.0,0,85,Y
Sloth Massage,wellness,Puerto Viejo,Y,N,N,N,Y,5.0,0,56,
Soda Títeres,restaurant,Cocles,Y,N,N,Y,Y,4.8,0,74,
Spiral,restaurant,Puerto Viejo,N,N,N,N,Y,5.0,0,55,Y
Talamanca Organica Cacao & Fine Chocolate,restaurant,Cocles,Y,N,N,N,Y,N,0,74,
Talamanca Viewpoint,restaurant,Puerto Viejo,N,N,N,N,Y,4.7,0,55,Y
Tattoo Studio 33,restaurant,Puerto Viejo,N,N,N,N,Y,5.0,0,49,
The Amazing Treehouse and Nature,restaurant,Playa Negra,Y,Y,N,N,Y,5.0,0,60,
The Reillder Castillo Project,restaurant,Puerto Viejo,Y,N,N,Y,Y,5.0,1,91,Y
TreeTop Mansion,restaurant,Playa Negra,Y,N,N,Y,Y,4.6,0,90,Y
TRIBU functional training,restaurant,Puerto Viejo,Y,N,N,N,Y,5.0,3,91,Y
Jungalow Tropical Caribeño,restaurant,Cocles,N,N,N,N,Y,5.0,0,49,Y
"Tropical Getaway ""Dream House""",restaurant,Playa Negra,N,N,N,N,Y,N,0,63,
Vindas,restaurant,Playa Negra,N,N,Y,N,Y,4.5,1,90,Y
Asante Bistro & Café,restaurant,Cahuita,Y,N,Y,N,Y,4.8,0,104,
Banco de Costa Rica Cahuita,services,Cahuita,Y,N,N,N,Y,2.9,0,91,
Boca Chica Bar Restaurante y Piscina,restaurant,Cahuita,N,N,N,Y,N,N,0,93,
Bomberos Bribri,services,Bribri,Y,N,Y,N,Y,4.0,0,70,
Cahuita Bus Station,tour_company,Cahuita,Y,N,N,N,Y,3.1,0,95,
Centro Educativo Complementaria Cahuita,services,Cahuita,Y,N,N,Y,Y,N,0,106,
Clinica Dental OCI Cahuita,services,Cahuita,Y,Y,N,N,Y,4.8,0,93,
Clínica de Medicina Integral Bribri,services,Bribri,Y,Y,N,N,Y,5.0,0,100,
Coral Vet,services,Cahuita,Y,N,Y,N,Y,4.7,0,76,
