key,business_name,area,primary_category,groups,tags,attributes,review_state,conflicts,master_description,maps_parsed,maps_full_text
cid:4964431491684239389,"Tree House Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel,gym|wildlife,accepted_deterministic,,True,True,True
cid:12050033515189885654,"Villas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",Playa Chiquita,hotel,stay,hotel|vacation-rental,gym,accepted_deterministic,,True,True,True
cid:5579537716284560393,"Awa Beach Boutique Hotel - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,stay,hotel,bar|cabins|gym,accepted_deterministic,,True,True,True
cid:1693592634910607224,"La Ceiba Nature Reserve - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,stay,hotel,wildlife,accepted_deterministic,,True,False,True
cid:17505879167034120949,"Pachamama Jungle River Lodge - Playa Punta Uva, Puerto Viejo, Limón, Costa Rica",Punta Uva,hotel,stay,hotel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:5826733614696332728,"Cabinas Kinawe - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay,cabins|hotel,,accepted_deterministic,,True,True,True
cid:6599527260173115828,"Casa Conley Del Mar - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay,hotel,gym,accepted_deterministic,,True,True,True
cid:12922727533389204233,"Hotel Hawa - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay,hotel,bar|vacation-rental,accepted_deterministic,,True,True,True
cid:2005484154619350459,"Orgánico Punta Riel - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay,hotel,,accepted_deterministic,,True,True,True
cid:3497932895823071906,"Rancho Tranquilo - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay,bed-and-breakfast|hotel,cabins,accepted_deterministic,,True,True,True
cid:2378802529330389577,"Samasati Yoga and Wellness Retreat - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay|things-to-do|wellness,hotel|yoga,massage|spa|vacation-rental,accepted_deterministic,,True,False,True
cid:2340777439094833292,"Villa Mena Apartments - Hone Creek, Limón, Costa Rica",Hone Creek,hotel,stay,hotel|vacation-rental,,accepted_deterministic,,True,False,True
cid:12617501835970240553,Casa Wolaba,Puerto Viejo,hostel,stay,hostel,vacation-rental,accepted_deterministic,,True,True,True
cid:5201679489523559249,El Clan Hostel,Puerto Viejo,hostel,stay,hostel,bar|hotel|vacation-rental,accepted_deterministic,,True,True,True
cid:7492180577056289429,Hotel and Hostel Agapi,Puerto Viejo,hostel,stay,hostel|hotel,bar|gym|massage|spa|surf|yoga,accepted_deterministic,,True,True,True
cid:120276160970090320,Hotel Puerto Viejo,Puerto Viejo,hostel,stay,hostel|hotel,bar|gym,accepted_deterministic,,True,True,True
cid:13549549945867962662,Kalunay Hostel,Puerto Viejo,hostel,stay,hostel,gym,accepted_deterministic,,True,True,True
cid:3806869317536833401,Oasis Beachfront Hostel,Puerto Viejo,hostel,stay,hostel,gym|wildlife,accepted_deterministic,,True,True,True
cid:16584181162103313991,Pagalu Hostel,Puerto Viejo,hostel,stay,hostel,gym,accepted_deterministic,,True,True,True
cid:2849080077759072513,Rocking J's Hostel,Puerto Viejo,hostel,stay,hostel,bar|gym|surf,accepted_deterministic,,True,True,True
cid:15012354361205552676,Roots Family Hostel,Puerto Viejo,hostel,stay,hostel,gym,accepted_deterministic,,True,True,True
cid:13859346082849828188,La Ruka Hostel,Puerto Viejo,hostel,stay,hostel,gym|snorkeling|spa|surf,accepted_deterministic,,True,True,True
cid:1470909826947842376,Soul Rebel Hostel,Puerto Viejo,hostel,stay,hostel,gym|vacation-rental,accepted_deterministic,,True,True,True
cid:8557872311475311298,La Tribu,Puerto Viejo,hostel,stay,hostel,,accepted_deterministic,,True,True,True
cid:8755282126859435083,"Tasty Dayz Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hostel,stay,hostel,bar|gym,accepted_deterministic,,True,True,True
cid:3101197989157048209,"Yuyo Huelal Totga - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hostel,stay,hostel,vacation-rental,accepted_deterministic,,True,True,True
cid:18351627144969519384,"Madre Selva Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hostel,stay,hostel,gym,accepted_deterministic,,True,True,True
cid:14615341747601449576,"Playa 506 - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hostel,stay,hostel,bar|gym,accepted_deterministic,,True,True,True
cid:15792014508348842214,"Smile Jungle Hostel - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,hostel,stay,hostel,,accepted_deterministic,,True,True,True
cid:16910935893526257108,Douglasville Guesthouse,Puerto Viejo,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,False,True
cid:9201616901711710091,Caribbean Comfort,Puerto Viejo,vacation_rental,stay,vacation-rental,gym|hotel,accepted_deterministic,,True,True,True
cid:13639343625190683419,Casa Arlecchino,Puerto Viejo,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:5833894449865216635,Casa Black Chaini,Puerto Viejo,vacation_rental,stay,vacation-rental,bed-and-breakfast,accepted_deterministic,,True,True,True
cid:9120865451737148097,Casa Kinkaju,Puerto Viejo,vacation_rental,stay,vacation-rental,hotel,accepted_deterministic,,True,True,True
cid:10763597126474435006,Coconut Grove Apartamentos,Puerto Viejo,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:656242078778664441,Colibri Ecolodge,Puerto Viejo,vacation_rental,stay,ecolodge|vacation-rental,gym,accepted_deterministic,,True,True,True
record:1db06f905d237e7a,Estrellas Cabinas,Puerto Viejo,vacation_rental,stay,cabins|vacation-rental,,accepted_deterministic,,True,False,False
cid:1214008658533978760,"Casa Roble de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:17566723912022559610,"Villa Abejita - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:3772885646337615062,"Villa del Mito - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:7455182900583969326,"Magic Moon Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:7206926578519386455,"Be My Guest Cabinas - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,cabins|vacation-rental,gym,accepted_deterministic,,True,True,True
cid:18318447306973081283,"Blessed House - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,gym,accepted_deterministic,,True,True,True
cid:11364781436039210316,"Blossom Paradise Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,yoga,accepted_deterministic,,True,True,True
cid:7573981416846739723,"Cabinas Cable Talamanca - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,cabins|vacation-rental,,accepted_deterministic,,True,False,True
cid:265902149135749003,"Caripro Apartments - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:9868667004367768507,"Casa Corazon del Mar - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,spa,accepted_deterministic,,True,True,True
cid:4046132343523405394,"Casa Galim Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:13928153996580431887,"Casa Jeffrey - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:1455817631417694421,"Casa Luna Beach House - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:1855638920758597797,"Casa Ocelote - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:10476863127556720569,"Casa Selva - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,bed-and-breakfast,accepted_deterministic,,True,True,True
cid:8382763569328813011,"Casa Theia - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:17447691794708739658,"Casita Kreyol - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:8689012956679917112,"Las Casitas de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,gym,accepted_deterministic,,True,True,True
cid:1768768766083603441,"Casitas Joanna - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:6051193694241034944,"Chimuri Beach Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,yoga,accepted_deterministic,,True,True,True
cid:6658711880224661769,"Escondido Retreat - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:18135263196931927606,"Evia Life Resort - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:10376714198650196690,"El Jardin de Playa Negra - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:10848512872328092857,"The Mimosas Container Homes - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:10850457859079273798,"Puerto Viejo Club - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,gym,accepted_deterministic,,True,True,True
cid:11323383828584457886,"Sloth House 2 - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:410104999530083035,"Villa Aragon - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:8236556478934588728,"Villa Wolaba - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:4076738848493846113,"Villas Ande - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,gym,accepted_deterministic,,True,True,True
cid:3491417544238941664,"Villas Banana Verde - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,hotel,accepted_deterministic,,True,True,True
cid:7675665734638034793,"Villas de la Luz - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,bed-and-breakfast,accepted_deterministic,,True,True,True
cid:9410436487829075468,"Villas Luna Africana by Palmer - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,gym,accepted_deterministic,,True,True,True
cid:13447229575814168735,"Villas Mapache del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:2206313602652580226,"Villas Piña - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,gym,accepted_deterministic,,True,True,True
cid:4133532355689727929,"Villas Ríos del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:16891468495061021112,"Villas Roca del Caribe - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:12865192766844460074,"Villas Serenidad - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,surf,accepted_deterministic,,True,True,True
cid:6607101811087559551,"Yoshi's on the Beach - Playa Negra, Puerto Viejo, Limón, Costa Rica",Playa Negra,vacation_rental,stay,vacation-rental,bed-and-breakfast,accepted_deterministic,,True,True,True
cid:11623096819320863549,"Geckoes Lodge - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,stay,hotel|vacation-rental,gym,accepted_deterministic,,True,True,True
cid:2659428566815974857,"Alloro Jungle Villas - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:14894693076927745646,"AroCocles - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:17887068920973627002,"Azania Oasis - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:12667576250238069497,"Casa Ackee - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
cid:16717641602858318859,"Casa Eden Jungle Apartments - Playa Cocles, Puerto Viejo, Limón, Costa Rica",Cocles,vacation_rental,stay,vacation-rental,,accepted_deterministic,,True,True,True
