business_name,category,area,google_maps_cid,group_nightlife,group_eat,group_stay,group_things-to-do,group_shopping,group_services,group_wellness,group_transport,current_groups,potential_groups
"Aloki Village - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,11129113619647704846,,context,current,,,,,,stay,stay
"Angler's Lair - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,12754897163013733415,,context,current,,,,,,stay,stay
"Caribbean Courtyard Villa - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,14240005590269620796,,,current,,,,,,stay,stay
"Casa Ambar - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,18302181789419942285,,context,current,,,,,,stay,stay
"Casa Jungle Love - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,14093799972335896635,,context,current,,context,,,,stay,stay
"Casa Moabi - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,9516383767938620040,,context,current,,,,,,stay,stay
"Casa Osos Caribeños - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,6876276989579196961,,context,current,,,,,,stay,stay
"Casas del Caribe - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,2489061038640189430,,,current,context,,,,,stay,stay
"Casas La Selvatica - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,11101879544769502565,,context,current,,,context,,context,stay,stay
"Chiquita Escondida - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,5961957804184993948,,context,current,,,context,,,stay,stay
"Luna Caribeña Village - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,5703354943109126310,,context,current,,,context,,,stay,stay
"Pura Bali Villas - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,17671006442397185195,,context,current,,,,,,stay,stay
"Tres Lodge - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,17306174628636276319,,context,current,,,,,,stay,stay
"Up! House - Playa Chiquita, Puerto Viejo, Limón, Costa Rica",vacation_rental,Playa Chiquita,386602587240645860,,context,current,,,,,,stay,stay
